
2022/07/11 (13:40:17) | ===> btop++ v.1.2.8
2022/07/11 (13:40:17) | WARNING: Failed to join _runner thread on exit!

2022/07/11 (14:35:50) | ===> btop++ v.1.2.8
2022/07/11 (14:35:50) | WARNING: Failed to join _runner thread on exit!

2022/07/11 (16:40:44) | ===> btop++ v.1.2.8
2022/07/11 (16:40:44) | WARNING: Failed to join _runner thread on exit!

2022/07/11 (16:41:20) | ===> btop++ v.1.2.8
2022/07/11 (16:41:20) | WARNING: Failed to join _runner thread on exit!

2022/07/12 (13:24:33) | ===> btop++ v.1.2.8
2022/07/12 (13:24:33) | WARNING: Failed to join _runner thread on exit!

2022/07/12 (14:59:58) | ===> btop++ v.1.2.8
2022/07/12 (14:59:58) | WARNING: Failed to join _runner thread on exit!

2022/07/12 (20:46:11) | ===> btop++ v.1.2.8
2022/07/12 (20:46:11) | WARNING: Failed to join _runner thread on exit!

2022/07/14 (05:34:38) | ===> btop++ v.1.2.8
2022/07/14 (05:34:38) | WARNING: Failed to join _runner thread on exit!

2022/07/16 (17:39:55) | ===> btop++ v.1.2.8
2022/07/16 (17:39:55) | WARNING: Failed to join _runner thread on exit!

2022/07/18 (14:26:39) | ===> btop++ v.1.2.8
2022/07/18 (14:26:39) | WARNING: Failed to join _runner thread on exit!

2022/07/31 (17:35:17) | ===> btop++ v.1.2.8
2022/07/31 (17:35:17) | WARNING: Failed to join _runner thread on exit!

2022/08/05 (14:10:30) | ===> btop++ v.1.2.8
2022/08/05 (14:10:30) | WARNING: Failed to join _runner thread on exit!

2022/08/05 (14:10:38) | ===> btop++ v.1.2.8
2022/08/05 (14:10:38) | WARNING: Failed to join _runner thread on exit!

2022/08/07 (20:35:49) | ===> btop++ v.1.2.8
2022/08/07 (20:35:49) | WARNING: Failed to join _runner thread on exit!

2022/08/12 (19:23:51) | ===> btop++ v.1.2.8
2022/08/12 (19:23:51) | WARNING: Failed to join _runner thread on exit!

2022/08/13 (15:32:42) | ===> btop++ v.1.2.8
2022/08/13 (15:32:42) | WARNING: Failed to join _runner thread on exit!

2022/08/13 (15:32:46) | ===> btop++ v.1.2.8
2022/08/13 (15:32:46) | WARNING: Failed to join _runner thread on exit!

2022/08/14 (08:43:37) | ===> btop++ v.1.2.8
2022/08/14 (08:43:37) | WARNING: Failed to join _runner thread on exit!

2022/08/16 (13:01:29) | ===> btop++ v.1.2.8
2022/08/16 (13:01:29) | WARNING: Failed to join _runner thread on exit!

2022/08/16 (17:51:37) | ===> btop++ v.1.2.8
2022/08/16 (17:51:37) | WARNING: Failed to join _runner thread on exit!

2022/08/17 (19:00:50) | ===> btop++ v.1.2.8
2022/08/17 (19:00:50) | WARNING: Failed to join _runner thread on exit!

2022/08/17 (19:00:54) | ===> btop++ v.1.2.8
2022/08/17 (19:00:54) | WARNING: Failed to join _runner thread on exit!

2022/08/22 (15:50:21) | ===> btop++ v.1.2.8
2022/08/22 (15:50:21) | WARNING: Failed to join _runner thread on exit!

2022/08/24 (16:20:02) | ===> btop++ v.1.2.8
2022/08/24 (16:20:02) | WARNING: Failed to join _runner thread on exit!

2022/08/24 (19:15:56) | ===> btop++ v.1.2.8
2022/08/24 (19:15:56) | WARNING: Failed to join _runner thread on exit!

2022/08/25 (13:47:34) | ===> btop++ v.1.2.8
2022/08/25 (13:47:34) | WARNING: Failed to join _runner thread on exit!

